Object Center X,"	Object Center Y","	X Left","	Y Top","	X Right","	Y Bottom","	Area","	Orientation","	Frame #","	Time / s","	Aspect Ratio","	Pixel Threshold","	Max Droplet Width / um","	Contact Droplet Width / um","	Volume (slices) / um3","	Volume (cap) / um3","	Volume-equivalent radius / um","	Volume-equivalent diameter / um","	Height of spherical cap / um","	Contact angle / degrees","	Surface area / um2"
61.390125,82.716751,28,55,95,106,2835,176.969437,81,1.35,1.313725,144,45.067265,37.668161,40003.51394,40252.82031,21.21631,42.432619,34.304933,122.464701,4811.509392
61.349857,82.767708,28,55,95,106,2824,176.819458,82,1.366667,1.313725,144,45.067265,37.668161,39768.0712,40252.82031,21.174604,42.349209,34.304933,122.464701,4811.509392
61.425571,82.849716,28,55,95,106,2808,176.272858,83,1.383333,1.313725,144,44.394619,37.668161,39497.96938,40252.82031,21.126557,42.253113,34.304933,122.464701,4811.509392
61.349201,82.786858,28,55,95,106,2815,176.609344,84,1.4,1.313725,144,44.394619,37.668161,39538.36514,40252.82031,21.133757,42.267513,34.304933,122.464701,4811.509392
61.326031,82.939674,29,55,95,106,2785,176.219818,85,1.416667,1.294118,144,44.394619,37.668161,38943.18502,40252.82031,21.027176,42.054352,34.304933,122.464701,4811.509392
61.351887,82.948296,29,55,95,106,2785,176.553009,86,1.433333,1.294118,144,44.394619,36.995516,39028.7571,39576.2511,21.042566,42.085133,34.304933,123.331515,4772.064965
61.353218,83.110992,29,55,95,106,2766,176.950653,87,1.45,1.294118,144,44.394619,38.340807,38622.64826,40941.57996,20.969326,41.938653,34.304933,121.605028,4851.664529
61.277035,83.077759,28,55,95,106,2765,175.838364,88,1.466667,1.313725,144,44.394619,37.668161,38555.48134,40252.82031,20.957164,41.914327,34.304933,122.464701,4811.509392
61.188843,83.111191,29,56,95,106,2743,176.882996,89,1.483333,1.32,144,44.394619,36.995516,38046.82942,37995.51804,20.864595,41.72919,33.632287,122.378413,4628.501464
61.236557,83.175507,29,56,95,106,2752,175.94458,90,1.5,1.32,144,44.394619,37.668161,38374.05897,38658.82118,20.924241,41.848482,33.632287,121.502347,4667.945891
61.234715,83.185593,29,56,95,106,2748,175.797958,91,1.516667,1.32,144,44.394619,37.668161,38275.10131,38658.82118,20.906239,41.812478,33.632287,121.502347,4667.945891
60.893002,83.116623,29,56,94,106,2701,177.49379,92,1.533333,1.3,144,43.721973,36.995516,36971.20269,37995.51804,20.66609,41.332181,33.632287,122.378413,4628.501464
61.102753,83.195961,29,56,95,106,2725,176.305756,93,1.55,1.32,144,43.721973,36.995516,37658.16963,37995.51804,20.793305,41.586611,33.632287,122.378413,4628.501464
61.042301,83.342857,29,56,95,106,2695,176.20578,94,1.566667,1.32,144,44.394619,36.995516,37048.16976,37995.51804,20.680421,41.360843,33.632287,122.378413,4628.501464
60.76358,83.2323,29,56,93,106,2669,177.495468,95,1.583333,1.28,144,43.049327,36.995516,36338.73418,37995.51804,20.547567,41.095133,33.632287,122.378413,4628.501464
60.696957,83.333832,29,56,93,106,2663,177.80925,96,1.6,1.28,144,43.049327,36.995516,36302.87996,37995.51804,20.540806,41.081613,33.632287,122.378413,4628.501464
