,time,ca_rad,activity_coeff,mass,tau,dm/dt,new_mass,mass_frac_solute,mass_frac_solvent,density,radius,volume
205,3.2960000000000003,2.226836463074349,0.5929174955996359,3.8444626489401875e-11,0.8871826433381708,3.8085857653347455e-12,3.838368911715652e-11,0.4318794233277542,0.568120576672246,1354.8098120108666,15.517117300241258,28331.42244532892
206,3.3120000000000003,2.226836463074349,0.5918351351042688,3.838368911715659e-11,0.881160970985269,3.758494318949279e-12,3.8323553208053404e-11,0.4325571126224754,0.5674428873775248,1355.499814050843,15.506377474648938,28272.63627098951
207,3.3280000000000003,2.226836463074349,0.590764359763547,3.832355320805348e-11,0.8751348474565468,3.709024384899048e-12,3.8264208817895095e-11,0.43322797029470433,0.5667720297052959,1356.1833535499516,15.495765163305325,28214.62799829723
208,3.344,2.226836463074349,0.5897051130435997,3.8264208817895166e-11,0.869105603542984,3.660170188946734e-12,3.820564609487202e-11,0.4338920346994064,0.5661079653005938,1356.86045462605,15.485279110806466,28157.387861525876
209,3.36,2.226836463074349,0.5886573363087564,3.820564609487208e-11,0.8630745388951027,3.611925935056537e-12,3.8147855279911174e-11,0.43454934489696107,0.5654506551030393,1357.531142379314,15.474918065163958,28100.90618845789
210,3.376,2.226836463074349,0.5876209689067124,3.8147855279911245e-11,0.8570429221974554,3.5642858085139414e-12,3.809082670697502e-11,0.435199940621766,0.5648000593782344,1358.1954428599247,15.464680778112434,28045.17340064692
211,3.392,2.226836463074349,0.5865959482527074,3.8090826706975075e-11,0.8510119913641195,3.5172439789643293e-12,3.8034550803311644e-11,0.4358438622513236,0.5641561377486769,1358.8533830360523,15.454566005406605,27990.180013631783
212,3.408,2.226836463074349,0.5855822099126229,3.8034550803311715e-11,0.844982953753888,3.470794603369068e-12,3.797901808965781e-11,0.43648115077582084,0.5635188492241796,1359.5049907621453,15.444572507107925,27935.91663710376
213,3.424,2.226836463074349,0.58457968768478,3.797901808965787e-11,0.8389569864027857,3.424931828873513e-12,3.792421918039589e-11,0.4371118477682138,0.5628881522317867,1360.1502947475626,15.434699047861018,27882.373975027847
214,3.44,2.226836463074349,0.5835883136806927,3.792421918039598e-11,0.8329352362753569,3.3796497955971344e-12,3.787014478366642e-11,0.43773599535482677,0.5622640046451739,1360.7893245255482,15.424944397159976,27829.542825720066
215,3.456,2.226836463074349,0.5826080184044429,3.7870144783666486e-11,0.8269188205314268,3.3349426393364595e-12,3.7816785701437104e-11,0.438353636186475,0.5616463638135256,1361.422110422581,15.415307329604627,27777.414081881554
216,3.472,2.226836463074349,0.5816387308307398,3.781678570143717e-11,0.8209088268081705,3.2908044941845134e-12,3.7764132829530214e-11,0.438964813410119,0.5610351865898817,1362.0486835281044,15.40578662514696,27725.978730591378
217,3.488,2.226836463074349,0.5806803784816807,3.776413282953028e-11,0.8149063135170007,3.247229495069056e-12,3.771217715760917e-11,0.4395695706410561,0.5604304293589446,1362.6690756646597,15.396381069327782,27675.22785325892
218,3.504,2.226836463074349,0.5797328875020966,3.771217715760926e-11,0.8089123101536818,3.2042117802074388e-12,3.766090976912594e-11,0.44016795193565705,0.5598320480643435,1363.2833193584272,15.387089453503778,27625.152625537503
219,3.52,2.226836463074349,0.5787961827334698,3.7660909769126005e-11,0.8029278176208766,3.1617454934791884e-12,3.761032184123034e-11,0.4407600017646509,0.5592399982353496,1363.891447810202,15.377910575065137,27575.74431720035
220,3.536,2.226836463074349,0.5778701877865018,3.7610321841230415e-11,0.7969538085631426,3.1198247867206346e-12,3.7560404644642884e-11,0.4413457649869634,0.5586542350130371,1364.4934948667967,15.368843237643864,27526.994291980533
221,3.552,2.226836463074349,0.5769548251120611,3.756040464464294e-11,0.7909912277114355,3.0784438219340645e-12,3.7511149543491996e-11,0.44192528682411125,0.5580747131758892,1365.0894949928995,15.359886251312979,27478.894007375766
222,3.568,2.226836463074349,0.5760500160707167,3.751114954349205e-11,0.7850409922381681,3.037596773419881e-12,3.746254799511733e-11,0.44249861283515546,0.557501387164845,1365.67948324339,15.351038432776692,27431.435014419698
223,3.584,2.226836463074349,0.5751556810008864,3.74625479951174e-11,0.7791039921224532,2.997277829834239e-12,3.7414591549840056e-11,0.443065788892215,0.5569342111077854,1366.2634952361168,15.342298605551804,27384.60895742083
224,3.6,2.226836463074349,0.5742717392851588,3.741459154984013e-11,0.7731810905210366,2.9574811961588777e-12,3.736727185070159e-11,0.443626861156541,0.5563731388434593,1366.8415671251498,15.333665600140462,27338.407573670305
225,3.616,2.226836463074349,0.5733981094154643,3.736727185070166e-11,0.7672731241501024,2.9182010956072287e-12,3.7320580633171945e-11,0.44418187605515363,0.5558181239448465,1367.4137355745202,15.325138254194385,27292.82269311977
226,3.632,2.226836463074349,0.5725347090563773,3.732058063317201e-11,0.7613809036710619,2.879431771444187e-12,3.7274509724828905e-11,0.44473088025803853,0.5552691197419616,1367.980037732436,15.316715412670877,27247.846238030743
227,3.648,2.226836463074349,0.5716814551070399,3.7274509724828976e-11,0.7555052140839102,2.8411674887373114e-12,3.722905104500918e-11,0.4452739206559038,0.5547260793440963,1368.540511205998,15.308395927980618,27203.47022259637
228,3.664,2.226836463074349,0.5708382637614875,3.7229051045009235e-11,0.7496468151256013,2.803402536033477e-12,3.71841966044327e-11,0.4458110443384943,0.5541889556615059,1369.095194036406,15.300178660127578,27159.68675253704
229,3.68,2.226836463074349,0.5700050505673815,3.718419660443276e-11,0.7438064416728071,2.7661312269624876e-12,3.713993850480136e-11,0.44634229857346186,0.5536577014265384,1369.6441246746679,15.292062476841112,27116.488024670805
230,3.696,2.226836463074349,0.5691817304833577,3.7139938504801416e-11,0.7379848041502803,2.729347901775809e-12,3.7096268938373e-11,0.44686773078578884,0.5531322692142115,1370.1873419578071,15.28404625370048,27073.86632645985
231,3.712,2.226836463074349,0.5683682179345482,3.709626893837305e-11,0.7321825889402307,2.6930469288069606e-12,3.705318018751214e-11,0.44738738853775956,0.5526126114622407,1370.7248850855779,15.276128874251931,27031.814035534066
232,3.728,2.226836463074349,0.5675644268667099,3.70531801875122e-11,0.7264004587959414,2.6572227058692413e-12,3.701066462421829e-11,0.4479013195094781,0.5520986804905222,1371.2567935976801,15.26830923011859,26990.32361919297
233,3.744,2.226836463074349,0.5667702707989264,3.7010664624218355e-11,0.7206390532587018,2.6218696615907005e-12,3.6968714709632907e-11,0.44840957147992694,0.5515904285200733,1371.7831073514878,15.260586221103232,26949.387633886738
234,3.7600000000000002,2.226836463074349,0.5659856628745317,3.6968714709632965e-11,0.7148989890742905,2.586982256675932e-12,3.692732299352615e-11,0.4489121923085619,0.5510878076914384,1372.3038665002737,15.252958755284235,26908.998724677705
235,3.7760000000000002,2.226836463074349,0.5652105159106995,3.692732299352622e-11,0.7091808606123707,2.5525549851104223e-12,3.6886482113764456e-11,0.44940922991743765,0.5505907700825625,1372.8191114719468,15.2454257491048,26869.14962468325
236,3.7920000000000003,2.226836463074349,0.5644447424463763,3.688648211376453e-11,0.7034852402852889,2.518582375297885e-12,3.6846184795759764e-11,0.4499007322738592,0.5500992677261409,1373.328882948291,15.237986127455654,26829.833154500913
237,3.8080000000000003,2.226836463074349,0.5636882547889641,3.684618479575983e-11,0.6978126789693893,2.4850589911449558e-12,3.680642385190151e-11,0.45038674737355305,0.549613252626447,1373.8332218447051,15.23063882375143,26791.042221616928
238,3.8240000000000003,2.226836463074349,0.5629409650591484,3.680642385190158e-11,0.6921637064227123,2.4519794330743336e-12,3.676719218097239e-11,0.45086732322435114,0.5491326767756489,1374.3321692904447,15.223382780000863,26752.76981979907
239,3.84,2.226836463074349,0.5622027852346889,3.676719218097245e-11,0.6865388317060236,2.4193383389942306e-12,3.672848276754854e-11,0.4513425078303823,0.5486574921696177,1374.8257666093596,15.216216946871011,26715.009028474593
240,3.856,2.226836463074349,0.5614736271923491,3.672848276754861e-11,0.6809385435989895,2.387130385197861e-12,3.6690288681385444e-11,0.4518123491767634,0.5481876508232365,1375.3140553011297,15.209140283745633,26677.753012094377
241,3.872,2.226836463074349,0.5607534027487304,3.6690288681385515e-11,0.6753633110180587,2.3553502872191417e-12,3.665260307679001e-11,0.4522768952147834,0.5477231047852165,1375.7970770229867,15.202151758777964,26640.99501948398
242,3.888,2.226836463074349,0.5600420236995234,3.665260307679008e-11,0.6698135834309588,2.3239928006292814e-12,3.661541919198001e-11,0.4527361938475738,0.5472638061524261,1376.274873571925,15.195250348937988,26604.728383182584
243,3.904,2.226836463074349,0.5593394018573932,3.661541919198009e-11,0.6642897912693073,2.2930527217823e-12,3.657873034843157e-11,0.4531902929162566,0.5468097070837432,1376.7474868673985,15.188435040054394,26568.94651877048
